item_names,categoria_propia,country,category,item_prices_local_curr,item_prices_usd
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Costa Rica,Food,1066.0,2.08
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Croatia,Food,1.47,1.58
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Cyprus,Food,1.57,1.69
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Czech Republic,Food,26.0,1.13
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Denmark,Food,12.0,1.66
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Dominican Republic,Food,134.0,2.31
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Ecuador,Food,1.83,1.83
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Egypt,Food,53.0,1.11
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Estonia,Food,1.45,1.56
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Finland,Food,2.71,2.91
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",France,Food,2.42,2.6
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Georgia,Food,4.0,1.5
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Germany,Food,1.08,1.16
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Greece,Food,1.56,1.68
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Guatemala,Food,12.0,1.53
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Hong Kong,Food,15.0,1.9
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Hungary,Food,367.0,1.01
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",India,Food,161.0,1.93
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Indonesia,Food,35119.0,2.18
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Iran,Food,,
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Iraq,Food,3376.0,2.58
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Ireland,Food,3.12,3.35
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Israel,Food,11.0,2.96
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Italy,Food,1.49,1.61
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Jamaica,Food,371.0,2.36
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Japan,Food,296.0,1.91
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Jordan,Food,2.909,4.1
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Kazakhstan,Food,489.0,1.11
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Kenya,Food,234.0,1.79
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Kosovo,Food,1.33,1.42
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Kuwait,Food,,
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Latvia,Food,1.47,1.58
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Lithuania,Food,1.53,1.64
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Luxembourg,Food,1.65,1.77
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Malaysia,Food,11.0,2.34
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Malta,Food,1.75,1.88
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Mauritius,Food,68.0,1.47
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Mexico,Food,30.0,1.76
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Montenegro,Food,3.43,3.69
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Morocco,Food,20.0,2.04
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Nepal,Food,282.0,2.11
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Netherlands,Food,1.78,1.91
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",New Zealand,Food,6.0,3.76
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Macedonia,Food,55.0,0.95
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Norway,Food,35.0,3.25
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Oman,Food,1.515,3.94
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Pakistan,Food,588.0,2.11
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Panama,Food,0.92,0.92
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Peru,Food,6.0,1.71
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Philippines,Food,66.0,1.15
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Poland,Food,4.23,1.06
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Portugal,Food,1.12,1.21
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Puerto Rico,Food,2.81,2.81
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Qatar,Food,8.0,2.12
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Romania,Food,4.78,1.03
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Russia,Food,81.0,0.89
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Saudi Arabia,Food,,
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Serbia,Food,92.0,0.85
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Singapore,Food,8.0,5.59
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Slovakia,Food,1.13,1.22
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Slovenia,Food,1.17,1.26
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",South Africa,Food,22.0,1.18
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",South Korea,Food,2929.0,2.15
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Spain,Food,1.13,1.21
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Sri Lanka,Food,503.0,1.68
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Sweden,Food,21.0,1.91
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Switzerland,Food,2.21,2.44
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Syria,Food,4095.0,1.63
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Taiwan,Food,55.0,1.69
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Thailand,Food,55.0,1.48
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Tunisia,Food,6.0,1.93
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Turkey,Food,61.0,1.89
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Ukraine,Food,33.0,0.84
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",United Arab Emirates,Food,11.0,2.98
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",United Kingdom,Food,2.29,2.86
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",United States,Food,3.41,3.41
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Uruguay,Food,93.0,2.42
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Uzbekistan,Food,10457.0,0.83
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Venezuela,Food,1.58,1.58
0.5 l (16 oz) domestic beer in the supermarket,"Alimentos, bebidas y tabaco",Vietnam,Food,18867.0,0.74
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Albania,Entertainment,308.0,3.29
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Algeria,Entertainment,364.0,2.71
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Argentina,Entertainment,2786.0,3.16
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Armenia,Entertainment,1809.0,4.67
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Australia,Entertainment,12.0,8.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Austria,Entertainment,5.27,5.66
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Azerbaijan,Entertainment,2.69,1.58
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Bangladesh,Entertainment,583.0,5.31
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Belarus,Entertainment,10.0,3.05
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Belgium,Entertainment,5.02,5.39
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Bolivia,Entertainment,20.0,2.83
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Bosnia And Herzegovina,Entertainment,4.47,2.46
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Brazil,Entertainment,11.0,2.22
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Bulgaria,Entertainment,3.71,2.04
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Canada,Entertainment,8.0,5.76
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Chile,Entertainment,3308.0,3.53
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,China,Entertainment,16.0,2.27
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Colombia,Entertainment,5623.0,1.44
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Costa Rica,Entertainment,1565.0,3.06
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Croatia,Entertainment,3.48,3.74
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Cyprus,Entertainment,4.27,4.59
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Czech Republic,Entertainment,51.0,2.17
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Denmark,Entertainment,46.0,7.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Dominican Republic,Entertainment,167.0,2.87
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Ecuador,Entertainment,2.16,2.16
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Egypt,Entertainment,218.0,4.59
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Estonia,Entertainment,4.99,5.36
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Finland,Entertainment,8.0,8.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,France,Entertainment,7.0,8.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Georgia,Entertainment,7.0,2.45
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Germany,Entertainment,4.49,4.82
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Greece,Entertainment,5.38,5.78
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Guatemala,Entertainment,25.0,3.19
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Hong Kong,Entertainment,63.0,8.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Hungary,Entertainment,788.0,2.18
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,India,Entertainment,191.0,2.29
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Indonesia,Entertainment,51086.0,3.18
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Iran,Entertainment,,
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Iraq,Entertainment,5558.0,4.24
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Ireland,Entertainment,7.0,8.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Israel,Entertainment,33.0,9.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Italy,Entertainment,5.41,5.81
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Jamaica,Entertainment,492.0,3.14
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Japan,Entertainment,644.0,4.15
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Jordan,Entertainment,4.602,6.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Kazakhstan,Entertainment,1243.0,2.82
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Kenya,Entertainment,262.0,2.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Kosovo,Entertainment,1.72,1.85
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Kuwait,Entertainment,,
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Latvia,Entertainment,5.47,5.88
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Lithuania,Entertainment,4.48,4.82
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Luxembourg,Entertainment,5.95,6.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Malaysia,Entertainment,18.0,3.84
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Malta,Entertainment,3.26,3.51
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Mauritius,Entertainment,162.0,3.49
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Mexico,Entertainment,51.0,3.01
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Montenegro,Entertainment,3.52,3.78
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Morocco,Entertainment,40.0,3.99
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Nepal,Entertainment,500.0,3.74
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Netherlands,Entertainment,8.0,9.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,New Zealand,Entertainment,12.0,7.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Macedonia,Entertainment,118.0,2.06
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Norway,Entertainment,105.0,10.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Oman,Entertainment,2.391,6.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Pakistan,Entertainment,703.0,2.53
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Panama,Entertainment,2.83,2.83
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Peru,Entertainment,11.0,2.86
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Philippines,Entertainment,127.0,2.2
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Poland,Entertainment,14.0,3.43
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Portugal,Entertainment,1.85,1.99
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Puerto Rico,Entertainment,2.14,2.14
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Qatar,Entertainment,44.0,12.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Romania,Entertainment,11.0,2.37
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Russia,Entertainment,269.0,2.94
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Saudi Arabia,Entertainment,,
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Serbia,Entertainment,307.0,2.82
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Singapore,Entertainment,12.0,9.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Slovakia,Entertainment,2.2,2.36
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Slovenia,Entertainment,3.49,3.75
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,South Africa,Entertainment,37.0,1.97
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,South Korea,Entertainment,6631.0,4.86
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Spain,Entertainment,4.54,4.88
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Sri Lanka,Entertainment,817.0,2.72
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Sweden,Entertainment,72.0,7.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Switzerland,Entertainment,7.0,8.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Syria,Entertainment,12450.0,4.96
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Taiwan,Entertainment,74.0,2.28
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Thailand,Entertainment,119.0,3.23
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Tunisia,Entertainment,7.0,2.32
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Turkey,Entertainment,138.0,4.27
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Ukraine,Entertainment,83.0,2.09
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,United Arab Emirates,Entertainment,37.0,10.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,United Kingdom,Entertainment,5.85,7.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,United States,Entertainment,7.0,7.0
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Uruguay,Entertainment,191.0,4.98
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Uzbekistan,Entertainment,15025.0,1.19
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Venezuela,Entertainment,1.42,1.42
1 beer in neighbourhood pub (500ml or 1pt.),Restaurantes,Vietnam,Entertainment,75319.0,2.96
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Albania,Food,1054.0,11.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Algeria,Food,1415.0,11.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Argentina,Food,5058.0,5.74
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Armenia,Food,5604.0,14.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Australia,Food,25.0,16.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Austria,Food,7.0,8.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Azerbaijan,Food,17.0,10.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Bangladesh,Food,1576.0,14.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Belarus,Food,23.0,7.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Belgium,Food,8.0,8.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Bolivia,Food,55.0,8.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Bosnia And Herzegovina,Food,21.0,11.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Brazil,Food,45.0,9.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Bulgaria,Food,19.0,11.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Canada,Food,20.0,15.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Chile,Food,6484.0,7.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",China,Food,87.0,12.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Colombia,Food,49638.0,13.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Costa Rica,Food,8294.0,16.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Croatia,Food,8.0,8.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Cyprus,Food,13.0,14.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Czech Republic,Food,159.0,7.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Denmark,Food,93.0,13.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Dominican Republic,Food,784.0,13.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Ecuador,Food,11.0,11.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Egypt,Food,317.0,7.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Estonia,Food,10.0,11.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Finland,Food,15.0,16.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",France,Food,10.0,10.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Georgia,Food,23.0,9.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Germany,Food,6.0,7.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Greece,Food,12.0,13.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Guatemala,Food,112.0,14.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Hong Kong,Food,165.0,21.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Hungary,Food,2127.0,5.88
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",India,Food,954.0,11.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Indonesia,Food,349614.0,22.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Iran,Food,,
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Iraq,Food,17812.0,14.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Ireland,Food,14.0,15.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Israel,Food,56.0,15.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Italy,Food,6.0,7.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Jamaica,Food,2435.0,16.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Japan,Food,1338.0,9.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Jordan,Food,14.0,20.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Kazakhstan,Food,4255.0,10.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Kenya,Food,1531.0,12.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Kosovo,Food,10.0,11.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Kuwait,Food,,
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Latvia,Food,8.0,9.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Lithuania,Food,10.0,11.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Luxembourg,Food,8.0,9.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Malaysia,Food,68.0,14.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Malta,Food,12.0,13.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Mauritius,Food,477.0,10.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Mexico,Food,279.0,16.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Montenegro,Food,9.0,10.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Morocco,Food,135.0,13.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Nepal,Food,2136.0,16.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Netherlands,Food,8.0,8.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",New Zealand,Food,20.0,12.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Macedonia,Food,350.0,6.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Norway,Food,175.0,16.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Oman,Food,5.731,15.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Pakistan,Food,2930.0,11.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Panama,Food,9.0,9.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Peru,Food,46.0,12.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Philippines,Food,382.0,7.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Poland,Food,35.0,9.0
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Portugal,Food,5.54,5.95
"1 bottle of red table wine, good quality","Alimentos, bebidas y tabaco",Puerto Rico,Food,23.0,23.0
